Name,State,Change,Density
McAllen,Texas,0.74,947
Syracuse,New York,-0.64,2200
Surprise,Arizona,7.84,507
Denton,Texas,5.81,585
Roseville,California,6.65,1270
Thornton,Colorado,3.47,1529
Miramar,Florida,2.05,1855
Pasadena,California,-0.79,2366
Mesquite,Texas,-1.93,1153
Olathe,Kansas,3.75,891
Dayton,Ohio,-0.1,973
Carrollton,Texas,4.39,1481
Waco,Texas,4.15,604
Orange,California,-1.34,2107
Fullerton,California,-1.43,2390
Charleston,South Carolina,2.37,487
West Valley City,Utah,-0.9,1472
Visalia,California,2.76,1386
Hampton,Virginia,-0.66,1008
Gainesville,Florida,1.87,830
Warren,Michigan,-0.9,1503
Coral Springs,Florida,2.91,2171
Cedar Rapids,Iowa,1.85,728
Round Rock,Texas,10.34,1447
Sterling Heights,Michigan,0.03,1401
Kent,Washington,3.74,1516
Columbia,South Carolina,-1.86,381
Santa Clara,California,3.41,2733
New Haven,Connecticut,0.3,2691
Stamford,Connecticut,0.38,1331
Concord,California,0.41,1637
Elizabeth,New Jersey,0.31,4051
Athens,Georgia,2.67,421
Thousand Oaks,California,-1.68,887
Lafayette,Louisiana,-1.11,906
Simi Valley,California,-0.55,1168
Topeka,Kansas,-1.18,787
Norman,Oklahoma,2.14,270
Fargo,North Dakota,2.76,976
Wilmington,North Carolina,5.25,926
Abilene,Texas,1.02,447
Odessa,Texas,4.59,1053
Columbia,Missouri,2.09,732
Pearland,Texas,7.85,1021
Victorville,California,0.13,645
Hartford,Connecticut,-1.01,2707
Vallejo,California,0.37,1531
Allentown,Pennsylvania,0.9,2681
Berkeley,California,0.09,4462
Richardson,Texas,7.01,1637
Arvada,Colorado,3.21,1213
Ann Arbor,Michigan,-0.66,1648
Rochester,Minnesota,4.36,841
Cambridge,Massachusetts,7.33,7164
Sugar Land,Texas,-0.15,1345
Lansing,Michigan,1.83,1167
Evansville,Indiana,-1.22,963
College Station,Texas,5.13,893
Fairfield,California,2.13,1106
Clearwater,Florida,2.22,1743
Beaumont,Texas,-1.17,550
Independence,Missouri,-0.34,579
Provo,Utah,-0.2,1080
West Jordan,Utah,2.33,1392
Murrieta,California,4.12,1336
Palm Bay,Florida,4.93,679
El Monte,California,-0.43,4638
Carlsbad,California,1.3,1182
North Charleston,South Carolina,5.48,604
Temecula,California,1.54,1188
Clovis,California,7.5,1827
Springfield,Illinois,-1.26,734
Meridian,Idaho,6.85,1479
Westminster,Colorado,-0.62,1378
Costa Mesa,California,0.05,2776
High Point,North Carolina,1.38,789
Manchester,New Hampshire,2,1315
Pueblo,Colorado,1.83,810
Lakeland,Florida,5.28,657
Pompano Beach,Florida,2.42,1803
West Palm Beach,Florida,3.5,785
Antioch,California,0.63,1465
Everett,Washington,2.31,1293
Downey,California,-1.85,3462
Lowell,Massachusetts,0.46,3153
Centennial,Colorado,0.91,1452
Elgin,Illinois,-1.21,1144
Richmond,California,0.61,1418
Peoria,Illinois,-3.31,885
Broken Arrow,Oklahoma,2.62,690
Miami Gardens,Florida,-2.61,2335
Billings,Montana,-0.72,968
Jurupa Valley,California,5.78,986
Sandy Springs,Georgia,3.55,1121
Gresham,Oregon,-1.84,1814
Lewisville,Texas,4.3,1148
Hillsboro,Oregon,3.86,1687
Ventura,California,-0.51,1931
Greeley,Colorado,4.48,878
Inglewood,California,-2.5,4583
Waterbury,Connecticut,-0.64,1458
League City,Texas,5.46,811
Santa Maria,California,0.83,1815
Tyler,Texas,2.07,730
Davie,Florida,4.34,1176
Daly City,California,-0.26,5395
Boulder,Colorado,-2.2,1646
Allen,Texas,4.92,1505
West Covina,California,-2.36,2539
Sparks,Nevada,4.55,1129
Wichita Falls,Texas,-0.04,560
Green Bay,Wisconsin,-0.53,889
San Mateo,California,0.59,3336
Norwalk,California,-2,4141
Rialto,California,0.12,1791
Las Cruces,New Mexico,1.61,519
Chico,California,0.03,1198
El Cajon,California,-1.14,2732
Burbank,California,-1.94,2273
South Bend,Indiana,0.29,952
Renton,Washington,0.78,1679
Vista,California,0.05,2100
Davenport,Iowa,-1.01,624
Edinburg,Texas,-0.03,1039
Tuscaloosa,Alabama,0.85,545
Carmel,Indiana,-0.04,822
Spokane Valley,Washington,0.04,1035
San Angelo,Texas,0.34,651
Vacaville,California,0.64,1340
Bend,Oregon,0.07,1172
